"Kierunek","kierunek_lc"
"OS. SOBIESKIEGO","os. sobieskiego"
"Park Południowy","park południowy"
"PARK POŁUDNIOWY ","park południowy "
"PARK POŁUDNIOWY 9/15(11242)","park południowy 9/15(11242)"
"PARK POŁUDNIOWY Pn/a(11365)","park południowy pn/a(11365)"
"Pawłowice","pawłowice"
"Pawłowice (Widawska)","pawłowice (widawska)"
"Pawłowice (Widawska) ","pawłowice (widawska) "
"Pawłowice (Widawska) 130(29554)","pawłowice (widawska) 130(29554)"
"PĘTLA","pętla"
"PĘTLA - GAJ","pętla - gaj"
"Piecowice","piecowice"
"PIECOWICE","piecowice"
"PIECOWICE 911(326945)","piecowice 911(326945)"
"Pilczyce","pilczyce"
"PILCZYCE","pilczyce"
"PILCZYCE ","pilczyce "
"PILCZYCE 128(12531)","pilczyce 128(12531)"
"PILCZYCE W/t(12410)","pilczyce w/t(12410)"
"Plac Daniłowskiego","plac daniłowskiego"
"plac Grunwaldzki","plac grunwaldzki"
"Plac Grunwaldzki","plac grunwaldzki"
"PLAC GRUNWALDZKI","plac grunwaldzki"
"Plac Jana Pawła II","plac jana pawła ii"
"Plac Staszica","plac staszica"
"PL.GRUNWALDZKI","pl.grunwaldzki"
"PL. DANIŁOWSKIEGO ","pl. daniłowskiego "
"PL. DANIŁOWSKIEGO A/206(23734)","pl. daniłowskiego a/206(23734)"
"Pl. Grunwaldzki","pl. grunwaldzki"
"PL. GRUNWALDZKI ","pl. grunwaldzki "
"PL. GRUNWALDZKI 115(20922)","pl. grunwaldzki 115(20922)"
"PL. GRUNWALDZKI 116(20921)","pl. grunwaldzki 116(20921)"
"PL. GRUNWALDZKI 945/955(20920)","pl. grunwaldzki 945/955(20920)"
"pl. gRUNWALDZKI C/149(20923)","pl. grunwaldzki c/149(20923)"
"PL: GRUNWALDZKI C/149(20923)","pl: grunwaldzki c/149(20923)"
"PL. GRUNWALDZKI C/149(20923)","pl. grunwaldzki c/149(20923)"
"PL. GRUNWALDZKI W/a(120815)","pl. grunwaldzki w/a(120815)"
"PL. JANA PAWŁA II W/a(10502)","pl. jana pawła ii w/a(10502)"
"PL. JANA PAWŁA II Z/a(10501)","pl. jana pawła ii z/a(10501)"
"Pl. SOLIDARNOŚCI 103(10530)","pl. solidarności 103(10530)"
"PL. STASZICA ","pl. staszica "
"PL. STASZICA PdZ/t(20662)","pl. staszica pdz/t(20662)"
"PL. STASZICA PnW/t(20661)","pl. staszica pnw/t(20661)"
"PL. STASZICA W/t(20681)","pl. staszica w/t(20681)"
"PL. STASZICA Z/t(20682)","pl. staszica z/t(20682)"
"Poczta Polska","poczta polska"
"POCZTA POLSKA","poczta polska"
"POCZTA POLSKA 325(17120)","poczta polska 325(17120)"
"Polanowice","polanowice"
"POLANOWICE ","polanowice "
"POLANOWICE 130(23558)","polanowice 130(23558)"
"Polanowice       ","polanowice       "
"Polanowice         ","polanowice         "
"Polanowice          ","polanowice          "
"PORT LOTNICZY 406(17530)","port lotniczy 406(17530)"
"POŚWIECKA-OŚRODEK ZDROWIA","poświecka-ośrodek zdrowia"
"Poświęcka","poświęcka"
"Poświęcka (ośrodek zdrowia)","poświęcka (ośrodek zdrowia)"
"POŚWIĘCKA (Ośrodek zdrowia)","poświęcka (ośrodek zdrowia)"
"POŚWIĘCKA (Ośrodek zdrowia) ","poświęcka (ośrodek zdrowia) "
"POŚWIĘCKA (Ośrodek zdrowia) 129(23541)","poświęcka (ośrodek zdrowia) 129(23541)"
"Pracze Odrzańskie","pracze odrzańskie"
"PRACZE ODRZAŃSKIE ","pracze odrzańskie "
"PRACZE ODRZAŃSKIE 103/205(18714)","pracze odrzańskie 103/205(18714)"
"Pracze Widawskie ","pracze widawskie "
"Pracze Widawskie pętla(23519)","pracze widawskie pętla(23519)"
"Praczw Widawskie","praczw widawskie"
"Psary","psary"
"PSARY","psary"
"PSARY ","psary "
"PSARY Pn/a(227901)","psary pn/a(227901)"
"Psie Pole","psie pole"
"PSIE POLE","psie pole"
"Psie Pole ","psie pole "
"Psie Pole PnZ/aw(49104)","psie pole pnz/aw(49104)"
"Psie Pole W/a(29103)","psie pole w/a(29103)"
"Raków","raków"
"RAKÓW","raków"
"Raków Pd/a(326960)","raków pd/a(326960)"
"Raków - skrzyżowanie","raków - skrzyżowanie"
"Raków - skrzyżowanie Pd/a3(326162)","raków - skrzyżowanie pd/a3(326162)"
"REAL","real"
"Reja","reja"
"REJA","reja"
"Reja ","reja "
"Reja Z/a(120814)","reja z/a(120814)"
"Rędzin","rędzin"
"RĘDZIN","rędzin"
"RĘDZIN ","rędzin "
"RĘDZIN pętla(23309)","rędzin pętla(23309)"
"RĘDZIŃSKA ","rędzińska "
"RĘDZIŃSKA 435(18525)","rędzińska 435(18525)"
"Samotwór","samotwór"
"SAMOTWÓR 609(812901)","samotwór 609(812901)"
"Sępolno","sępolno"
"SĘPOLNO ","sępolno "
"SĘPOLNO 118(24321)","sępolno 118(24321)"
"SĘPOLNO 145(24322)","sępolno 145(24322)"
"SĘPOLNO 9/17(24214)","sępolno 9/17(24214)"
"siechnice","siechnice"
"Siechnice","siechnice"
"SieCHNICE","siechnice"
"SIECHNICE","siechnice"
"SIECHNICE ","siechnice "
"Siechnice Osiedle","siechnice osiedle"
"SIECHNICE - OSIEDLE 900/901(524938)","siechnice - osiedle 900/901(524938)"
"SIECHNICE - OSIEDLE 901(524937)","siechnice - osiedle 901(524937)"
"SIECHNICE - TIM 901(524950)","siechnice - tim 901(524950)"
"Sołtysowice","sołtysowice"
"SOŁTYSOWICE","sołtysowice"
"SOŁTYSOWICE ","sołtysowice "
"SOŁTYSOWICE 105(23730)","sołtysowice 105(23730)"
"Sołtyswice","sołtyswice"
"Stadion","stadion"
